Nr.	Pos. [°2Th.]	Q [1/Å]	Iberechn. [cts]	Iback [cts]	Std.Abw.	d-Werte	CT [s]	Intensity [Counts]
1139	34.8086	2.4398			20.3038	2.5753	32.8950	412.2425
1140	34.8216	2.4407			20.1731	2.5744	32.8950	406.9548
1141	34.8346	2.4416			20.6810	2.5734	32.8950	427.7057
1142	34.8476	2.4425			21.0357	2.5725	32.8950	442.5011
1143	34.8606	2.4433			20.6139	2.5716	32.8950	424.9320
1144	34.8736	2.4442			20.1191	2.5706	32.8950	404.7767
1145	34.8866	2.4451			19.6068	2.5697	32.8950	384.4268
1146	34.8996	2.4460			19.8467	2.5688	32.8950	393.8909
1147	34.9126	2.4469			19.8161	2.5679	32.8950	392.6773
1148	34.9256	2.4477			20.5705	2.5669	32.8950	423.1469
1149	34.9386	2.4486			21.0609	2.5660	32.8950	443.5632
1150	34.9516	2.4495			20.3282	2.5651	32.8950	413.2350
1151	34.9646	2.4504			20.5640	2.5642	32.8950	422.8781
1152	34.9776	2.4513			20.7425	2.5632	32.8950	430.2526
1153	34.9906	2.4522			20.6704	2.5623	32.8950	427.2645
1154	35.0036	2.4530			20.5953	2.5614	32.8950	424.1659
1155	35.0166	2.4539			20.2424	2.5605	32.8950	409.7551
