Nr.	Pos. [°2Th.]	Q [1/Å]	Iberechn. [cts]	Iback [cts]	Std.Abw.	d-Werte	CT [s]	Intensity [Counts]
58	20.7576	1.4695			21.8838	4.2758	32.8950	478.9017
59	20.7706	1.4704			22.0060	4.2731	32.8950	484.2648
60	20.7836	1.4713			22.0564	4.2705	32.8950	486.4854
61	20.7966	1.4722			22.9201	4.2678	32.8950	525.3305
62	20.8096	1.4731			22.5225	4.2652	32.8950	507.2629
63	20.8226	1.4740			21.5318	4.2626	32.8950	463.6204
64	20.8356	1.4750			21.6795	4.2599	32.8950	470.0025
65	20.8486	1.4759			21.5859	4.2573	32.8950	465.9492
66	20.8616	1.4768			21.9985	4.2547	32.8950	483.9348
67	20.8746	1.4777			21.7015	4.2521	32.8950	470.9559
68	20.8876	1.4786			21.4255	4.2494	32.8950	459.0505
69	20.9006	1.4795			21.9369	4.2468	32.8950	481.2287
70	20.9136	1.4804			22.3204	4.2442	32.8950	498.1994
71	20.9266	1.4813			22.2469	4.2416	32.8950	494.9247
72	20.9396	1.4822			21.4270	4.2390	32.8950	459.1162
73	20.9526	1.4831			22.1553	4.2364	32.8950	490.8559
74	20.9656	1.4841			22.1485	4.2338	32.8950	490.5569
75	20.9786	1.4850			21.5613	4.2312	32.8950	464.8878
76	20.9916	1.4859			21.2805	4.2286	32.8950	452.8607
77	21.0046	1.4868			21.7010	4.2260	32.8950	470.9345
78	21.0176	1.4877			21.7343	4.2234	32.8950	472.3808
79	21.0306	1.4886			21.1808	4.2209	32.8950	448.6248
80	21.0436	1.4895			21.9194	4.2183	32.8950	480.4611
81	21.0566	1.4904			21.4783	4.2157	32.8950	461.3192
82	21.0696	1.4913			21.5988	4.2131	32.8950	466.5072
83	21.0826	1.4922			22.9772	4.2106	32.8950	527.9499
84	21.0956	1.4931			22.7544	4.2080	32.8950	517.7649
85	21.1086	1.4941			22.5943	4.2054	32.8950	510.5013
86	21.1216	1.4950			22.3016	4.2029	32.8950	497.3623
87	21.1346	1.4959			21.5626	4.2003	32.8950	464.9465
88	21.1476	1.4968			21.4566	4.1978	32.8950	460.3850
89	21.1606	1.4977			22.3584	4.1952	32.8950	499.8971
90	21.1736	1.4986			21.3192	4.1927	32.8950	454.5074
91	21.1866	1.4995			21.8926	4.1901	32.8950	479.2881
92	21.1996	1.5004			21.6088	4.1876	32.8950	466.9414
93	21.2126	1.5013			22.0168	4.1851	32.8950	484.7386
94	21.2256	1.5022			21.9563	4.1825	32.8950	482.0772
95	21.2386	1.5032			21.9497	4.1800	32.8950	481.7885
96	21.2516	1.5041			21.5851	4.1775	32.8950	465.9181
97	21.2646	1.5050			21.9512	4.1749	32.8950	481.8543
98	21.2776	1.5059			22.3291	4.1724	32.8950	498.5871
99	21.2906	1.5068			22.1107	4.1699	32.8950	488.8836
100	21.3036	1.5077			22.7899	4.1674	32.8950	519.3808
101	21.3166	1.5086			22.0234	4.1649	32.8950	485.0311
102	21.3296	1.5095			22.1131	4.1624	32.8950	488.9914
103	21.3426	1.5104			22.0686	4.1599	32.8950	487.0242
104	21.3556	1.5113			21.6204	4.1574	32.8950	467.4399
105	21.3686	1.5122			22.3588	4.1549	32.8950	499.9147
106	21.3816	1.5132			22.0162	4.1524	32.8950	484.7113
107	21.3946	1.5141			22.1289	4.1499	32.8950	489.6894
108	21.4076	1.5150			22.4725	4.1474	32.8950	505.0130
109	21.4206	1.5159			22.1199	4.1449	32.8950	489.2890
110	21.4336	1.5168			22.4004	4.1424	32.8950	501.7770
111	21.4466	1.5177			22.6894	4.1399	32.8950	514.8111
112	21.4596	1.5186			21.8691	4.1374	32.8950	478.2578
113	21.4726	1.5195			21.7715	4.1350	32.8950	474.0000
114	21.4856	1.5204			21.4462	4.1325	32.8950	459.9395
115	21.4986	1.5213			21.7033	4.1300	32.8950	471.0329
116	21.5116	1.5223			21.7486	4.1276	32.8950	473.0000
117	21.5246	1.5232			22.1547	4.1251	32.8950	490.8293
118	21.5376	1.5241			22.3954	4.1226	32.8950	501.5518
119	21.5506	1.5250			22.2607	4.1202	32.8950	495.5375
120	21.5636	1.5259			22.0782	4.1177	32.8950	487.4460
121	21.5766	1.5268			22.1918	4.1153	32.8950	492.4746
122	21.5896	1.5277			21.4575	4.1128	32.8950	460.4252
123	21.6026	1.5286			21.9185	4.1104	32.8950	480.4212
124	21.6156	1.5295			22.4582	4.1079	32.8950	504.3707
125	21.6286	1.5304			21.2070	4.1055	32.8950	449.7382
126	21.6416	1.5313			22.4369	4.1031	32.8950	503.4129
127	21.6546	1.5322			21.8120	4.1006	32.8950	475.7641
128	21.6676	1.5332			21.9530	4.0982	32.8950	481.9359
129	21.6806	1.5341			21.7702	4.0958	32.8950	473.9412
130	21.6936	1.5350			21.9308	4.0933	32.8950	480.9604
131	21.7066	1.5359			22.1739	4.0909	32.8950	491.6808
132	21.7196	1.5368			21.8768	4.0885	32.8950	478.5961
133	21.7326	1.5377			21.6141	4.0861	32.8950	467.1682
134	21.7456	1.5386			21.4848	4.0837	32.8950	461.5983
135	21.7586	1.5395			21.8502	4.0813	32.8950	477.4307
136	21.7716	1.5404			21.8195	4.0789	32.8950	476.0927
137	21.7846	1.5413			21.9707	4.0765	32.8950	482.7102
138	21.7976	1.5422			21.3918	4.0740	32.8950	457.6084
139	21.8106	1.5432			21.3044	4.0716	32.8950	453.8759
140	21.8236	1.5441			22.2464	4.0693	32.8950	494.9024
141	21.8366	1.5450			22.4364	4.0669	32.8950	503.3933
142	21.8496	1.5459			21.5302	4.0645	32.8950	463.5484
143	21.8626	1.5468			21.4413	4.0621	32.8950	459.7310
144	21.8756	1.5477			21.9517	4.0597	32.8950	481.8789
145	21.8886	1.5486			22.2036	4.0573	32.8950	492.9983
146	21.9016	1.5495			21.9538	4.0549	32.8950	481.9684
147	21.9146	1.5504			21.7406	4.0526	32.8950	472.6540
148	21.9276	1.5513			21.9449	4.0502	32.8950	481.5799
149	21.9406	1.5522			22.0666	4.0478	32.8950	486.9370
150	21.9536	1.5531			22.0336	4.0455	32.8950	485.4784
151	21.9666	1.5541			21.9878	4.0431	32.8950	483.4650
152	21.9796	1.5550			22.1479	4.0407	32.8950	490.5294
153	21.9926	1.5559			22.6118	4.0384	32.8950	511.2952
154	22.0056	1.5568			22.4124	4.0360	32.8950	502.3151
155	22.0186	1.5577			21.6802	4.0337	32.8950	470.0327
156	22.0316	1.5586			22.0111	4.0313	32.8950	484.4883
157	22.0446	1.5595			22.3885	4.0290	32.8950	501.2449
158	22.0576	1.5604			22.2278	4.0266	32.8950	494.0752
159	22.0706	1.5613			22.2146	4.0243	32.8950	493.4899
160	22.0836	1.5622			21.8932	4.0219	32.8950	479.3106
161	22.0966	1.5631			22.1497	4.0196	32.8950	490.6102
162	22.1096	1.5640			22.4491	4.0173	32.8950	503.9624
163	22.1226	1.5650			22.0447	4.0149	32.8950	485.9705
164	22.1356	1.5659			21.7871	4.0126	32.8950	474.6786
165	22.1486	1.5668			22.0473	4.0103	32.8950	486.0821
166	22.1616	1.5677			22.3159	4.0079	32.8950	498.0000
167	22.1746	1.5686			22.5519	4.0056	32.8950	508.5869
168	22.1876	1.5695			22.2811	4.0033	32.8950	496.4463
169	22.2006	1.5704			21.2286	4.0010	32.8950	450.6543
170	22.2136	1.5713			21.7609	3.9987	32.8950	473.5374
171	22.2266	1.5722			21.5859	3.9964	32.8950	465.9510
172	22.2396	1.5731			21.7819	3.9941	32.8950	474.4507
173	22.2526	1.5740			21.6493	3.9918	32.8950	468.6938
174	22.2656	1.5749			21.9154	3.9895	32.8950	480.2834
175	22.2786	1.5759			22.0313	3.9872	32.8950	485.3763
176	22.2916	1.5768			22.2698	3.9849	32.8950	495.9456
177	22.3046	1.5777			22.2891	3.9826	32.8950	496.8051
178	22.3176	1.5786			22.3542	3.9803	32.8950	499.7124
179	22.3306	1.5795			21.7876	3.9780	32.8950	474.7015
180	22.3436	1.5804			22.0038	3.9757	32.8950	484.1650
181	22.3566	1.5813			22.5468	3.9734	32.8950	508.3580
182	22.3696	1.5822			22.3716	3.9711	32.8950	500.4903
183	22.3826	1.5831			22.0408	3.9689	32.8950	485.7949
184	22.3956	1.5840			22.5739	3.9666	32.8950	509.5788
185	22.4086	1.5849			22.0965	3.9643	32.8950	488.2570
186	22.4216	1.5858			21.9314	3.9621	32.8950	480.9862
187	22.4346	1.5867			22.0384	3.9598	32.8950	485.6911
188	22.4476	1.5877			22.0885	3.9575	32.8950	487.9023
