Nr.	Pos. [°2Th.]	Q [1/Å]	Iberechn. [cts]	Iback [cts]	Std.Abw.	d-Werte	CT [s]	Intensity [Counts]
2671	54.7266	3.7491			20.2330	1.6759	32.8950	409.3734
2672	54.7396	3.7499			20.0250	1.6755	32.8950	401.0000
2673	54.7526	3.7508			19.6935	1.6752	32.8950	387.8348
2674	54.7656	3.7516			19.4990	1.6748	32.8950	380.2098
2675	54.7786	3.7524			19.9790	1.6744	32.8950	399.1616
2676	54.7916	3.7532			20.3562	1.6741	32.8950	414.3735
2677	54.8046	3.7541			20.1531	1.6737	32.8950	406.1460
2678	54.8176	3.7549			20.0907	1.6733	32.8950	403.6357
2679	54.8306	3.7557			20.0468	1.6730	32.8950	401.8738
2680	54.8436	3.7565			20.0870	1.6726	32.8950	403.4890
2681	54.8566	3.7573			20.4679	1.6722	32.8950	418.9369
2682	54.8696	3.7582			20.4724	1.6719	32.8950	419.1183
2683	54.8826	3.7590			20.7584	1.6715	32.8950	430.9114
2684	54.8956	3.7598			20.3895	1.6711	32.8950	415.7321
2685	54.9086	3.7606			20.6167	1.6708	32.8950	425.0496
2686	54.9216	3.7614			20.4986	1.6704	32.8950	420.1927
2687	54.9346	3.7623			20.8238	1.6701	32.8950	433.6315
2688	54.9476	3.7631			20.4368	1.6697	32.8950	417.6612
2689	54.9606	3.7639			20.3399	1.6693	32.8950	413.7116
2690	54.9736	3.7647			20.0474	1.6690	32.8950	401.8973
2691	54.9866	3.7655			20.2142	1.6686	32.8950	408.6129
2692	54.9996	3.7664			21.2154	1.6682	32.8950	450.0935
2693	55.0126	3.7672			21.3375	1.6679	32.8950	455.2892
2694	55.0256	3.7680			21.2230	1.6675	32.8950	450.4154
2695	55.0386	3.7688			20.8613	1.6671	32.8950	435.1921
2696	55.0516	3.7697			20.8647	1.6668	32.8950	435.3345
2697	55.0646	3.7705			21.2010	1.6664	32.8950	449.4839
2698	55.0776	3.7713			21.6316	1.6661	32.8950	467.9278
2699	55.0906	3.7721			21.2714	1.6657	32.8950	452.4742
2700	55.1036	3.7729			21.0765	1.6653	32.8950	444.2197
2701	55.1166	3.7738			20.9653	1.6650	32.8950	439.5458
2702	55.1296	3.7746			20.6590	1.6646	32.8950	426.7943
2703	55.1426	3.7754			21.4142	1.6642	32.8950	458.5698
2704	55.1556	3.7762			21.4583	1.6639	32.8950	460.4600
2705	55.1686	3.7770			21.5040	1.6635	32.8950	462.4222
2706	55.1816	3.7779			21.8392	1.6632	32.8950	476.9528
2707	55.1946	3.7787			21.2077	1.6628	32.8950	449.7657
2708	55.2076	3.7795			22.2872	1.6624	32.8950	496.7212
2709	55.2206	3.7803			21.1496	1.6621	32.8950	447.3040
2710	55.2336	3.7811			21.3288	1.6617	32.8950	454.9157
2711	55.2466	3.7820			21.1789	1.6614	32.8950	448.5477
2712	55.2596	3.7828			21.4943	1.6610	32.8950	462.0063
2713	55.2726	3.7836			21.6356	1.6606	32.8950	468.0974
2714	55.2856	3.7844			20.9716	1.6603	32.8950	439.8079
2715	55.2986	3.7852			21.2581	1.6599	32.8950	451.9054
2716	55.3116	3.7861			22.1112	1.6596	32.8950	488.9031
2717	55.3246	3.7869			21.7666	1.6592	32.8950	473.7856
2718	55.3376	3.7877			22.4856	1.6588	32.8950	505.6027
2719	55.3506	3.7885			21.7658	1.6585	32.8950	473.7482
2720	55.3636	3.7893			22.2716	1.6581	32.8950	496.0224
2721	55.3766	3.7902			21.2421	1.6578	32.8950	451.2266
2722	55.3896	3.7910			21.7041	1.6574	32.8950	471.0689
2723	55.4026	3.7918			22.7944	1.6570	32.8950	519.5827
2724	55.4156	3.7926			22.1927	1.6567	32.8950	492.5163
2725	55.4286	3.7934			22.4424	1.6563	32.8950	503.6597
2726	55.4416	3.7942			22.4285	1.6560	32.8950	503.0383
2727	55.4546	3.7951			22.8689	1.6556	32.8950	522.9877
2728	55.4676	3.7959			22.9732	1.6553	32.8950	527.7675
2729	55.4806	3.7967			22.7336	1.6549	32.8950	516.8166
2730	55.4936	3.7975			22.3267	1.6545	32.8950	498.4815
2731	55.5066	3.7983			22.7591	1.6542	32.8950	517.9784
2732	55.5196	3.7992			22.7242	1.6538	32.8950	516.3913
2733	55.5326	3.8000			23.4120	1.6535	32.8950	548.1214
2734	55.5456	3.8008			22.2407	1.6531	32.8950	494.6480
2735	55.5586	3.8016			23.3736	1.6528	32.8950	546.3243
2736	55.5716	3.8024			23.4299	1.6524	32.8950	548.9625
2737	55.5846	3.8033			23.2999	1.6521	32.8950	542.8846
2738	55.5976	3.8041			23.1174	1.6517	32.8950	534.4162
2739	55.6106	3.8049			23.4979	1.6513	32.8950	552.1527
2740	55.6236	3.8057			22.8891	1.6510	32.8950	523.9106
2741	55.6366	3.8065			23.4244	1.6506	32.8950	548.7024
2742	55.6496	3.8073			24.1017	1.6503	32.8950	580.8918
2743	55.6626	3.8082			23.7487	1.6499	32.8950	564.0019
2744	55.6756	3.8090			24.3243	1.6496	32.8950	591.6740
2745	55.6886	3.8098			24.6411	1.6492	32.8950	607.1855
2746	55.7016	3.8106			24.9853	1.6489	32.8950	624.2654
2747	55.7146	3.8114			25.3488	1.6485	32.8950	642.5603
2748	55.7276	3.8123			26.0713	1.6482	32.8950	679.7108
2749	55.7406	3.8131			26.5230	1.6478	32.8950	703.4696
2750	55.7536	3.8139			26.3761	1.6474	32.8950	695.6991
2751	55.7666	3.8147			25.9865	1.6471	32.8950	675.2995
2752	55.7796	3.8155			26.6160	1.6467	32.8950	708.4093
2753	55.7926	3.8163			27.0672	1.6464	32.8950	732.6320
2754	55.8056	3.8172			26.9396	1.6460	32.8950	725.7416
2755	55.8186	3.8180			26.8138	1.6457	32.8950	718.9781
2756	55.8316	3.8188			27.6253	1.6453	32.8950	763.1553
2757	55.8446	3.8196			27.5414	1.6450	32.8950	758.5267
2758	55.8576	3.8204			27.5466	1.6446	32.8950	758.8167
2759	55.8706	3.8213			28.3512	1.6443	32.8950	803.7883
2760	55.8836	3.8221			29.0363	1.6439	32.8950	843.1064
2761	55.8966	3.8229			29.0123	1.6436	32.8950	841.7113
2762	55.9096	3.8237			29.0148	1.6432	32.8950	841.8587
2763	55.9226	3.8245			29.4586	1.6429	32.8950	867.8107
2764	55.9356	3.8253			30.4854	1.6425	32.8950	929.3583
2765	55.9486	3.8262			31.5648	1.6422	32.8950	996.3354
2766	55.9616	3.8270			32.1908	1.6418	32.8950	1036.2503
2767	55.9746	3.8278			32.5694	1.6415	32.8950	1060.7628
2768	55.9876	3.8286			33.2793	1.6411	32.8950	1107.5137
2769	56.0006	3.8294			33.8293	1.6408	32.8950	1144.4207
2770	56.0136	3.8302			34.2506	1.6404	32.8950	1173.1060
2771	56.0266	3.8311			34.7476	1.6401	32.8950	1207.3956
2772	56.0396	3.8319			34.9791	1.6397	32.8950	1223.5370
2773	56.0526	3.8327			36.1079	1.6394	32.8950	1303.7822
2774	56.0656	3.8335			37.4355	1.6390	32.8950	1401.4179
2775	56.0786	3.8343			38.2105	1.6387	32.8950	1460.0420
2776	56.0916	3.8351			39.0071	1.6383	32.8950	1521.5553
2777	56.1046	3.8360			40.0860	1.6380	32.8950	1606.8838
2778	56.1176	3.8368			41.5145	1.6376	32.8950	1723.4554
2779	56.1306	3.8376			42.0583	1.6373	32.8950	1768.8983
2780	56.1436	3.8384			42.4938	1.6369	32.8950	1805.7209
2781	56.1566	3.8392			43.6093	1.6366	32.8950	1901.7752
2782	56.1696	3.8400			44.7613	1.6362	32.8950	2003.5707
2783	56.1826	3.8409			46.0026	1.6359	32.8950	2116.2377
2784	56.1956	3.8417			47.0853	1.6355	32.8950	2217.0295
2785	56.2086	3.8425			48.0737	1.6352	32.8950	2311.0833
2786	56.2216	3.8433			48.9309	1.6348	32.8950	2394.2327
2787	56.2346	3.8441			49.7894	1.6345	32.8950	2478.9808
2788	56.2476	3.8449			50.3190	1.6341	32.8950	2532.0000
2789	56.2606	3.8458			51.1420	1.6338	32.8950	2615.5038
2790	56.2736	3.8466			52.1903	1.6334	32.8950	2723.8319
2791	56.2866	3.8474			53.5574	1.6331	32.8950	2868.3976
2792	56.2996	3.8482			53.3322	1.6328	32.8950	2844.3289
2793	56.3126	3.8490			53.5368	1.6324	32.8950	2866.1938
2794	56.3256	3.8498			54.4995	1.6321	32.8950	2970.1930
2795	56.3386	3.8507			54.8879	1.6317	32.8950	3012.6851
2796	56.3516	3.8515			55.2020	1.6314	32.8950	3047.2598
2797	56.3646	3.8523			55.2465	1.6310	32.8950	3052.1768
2798	56.3776	3.8531			55.4748	1.6307	32.8950	3077.4516
2799	56.3906	3.8539			55.0262	1.6303	32.8950	3027.8843
2800	56.4036	3.8547			55.3667	1.6300	32.8950	3065.4677
2801	56.4166	3.8555			55.6947	1.6296	32.8950	3101.9017
2802	56.4296	3.8564			55.1574	1.6293	32.8950	3042.3390
2803	56.4426	3.8572			55.0999	1.6290	32.8950	3036.0000
2804	56.4556	3.8580			55.0198	1.6286	32.8950	3027.1745
2805	56.4686	3.8588			54.4239	1.6283	32.8950	2961.9660
2806	56.4816	3.8596			53.4130	1.6279	32.8950	2852.9536
2807	56.4946	3.8604			53.9477	1.6276	32.8950	2910.3525
2808	56.5076	3.8613			52.8510	1.6272	32.8950	2793.2229
2809	56.5206	3.8621			52.6257	1.6269	32.8950	2769.4597
2810	56.5336	3.8629			51.6186	1.6266	32.8950	2664.4810
2811	56.5466	3.8637			50.2517	1.6262	32.8950	2525.2366
2812	56.5596	3.8645			50.1991	1.6259	32.8950	2519.9541
2813	56.5726	3.8653			49.4306	1.6255	32.8950	2443.3879
2814	56.5856	3.8661			47.7224	1.6252	32.8950	2277.4277
2815	56.5986	3.8670			48.0676	1.6248	32.8950	2310.4975
2816	56.6116	3.8678			46.4604	1.6245	32.8950	2158.5719
2817	56.6246	3.8686			45.5858	1.6242	32.8950	2078.0631
2818	56.6376	3.8694			44.3040	1.6238	32.8950	1962.8465
2819	56.6506	3.8702			43.3196	1.6235	32.8950	1876.5869
2820	56.6636	3.8710			41.7618	1.6231	32.8950	1744.0447
2821	56.6766	3.8718			42.1669	1.6228	32.8950	1778.0451
2822	56.6896	3.8727			41.5673	1.6224	32.8950	1727.8438
2823	56.7026	3.8735			40.0387	1.6221	32.8950	1603.0940
2824	56.7156	3.8743			39.0872	1.6218	32.8950	1527.8108
2825	56.7286	3.8751			37.7121	1.6214	32.8950	1422.2032
2826	56.7416	3.8759			37.6185	1.6211	32.8950	1415.1526
2827	56.7546	3.8767			36.8042	1.6207	32.8950	1354.5474
2828	56.7676	3.8775			35.8939	1.6204	32.8950	1288.3740
2829	56.7806	3.8784			34.9308	1.6201	32.8950	1220.1593
2830	56.7936	3.8792			34.6304	1.6197	32.8950	1199.2636
2831	56.8066	3.8800			33.8598	1.6194	32.8950	1146.4870
2832	56.8196	3.8808			32.8652	1.6190	32.8950	1080.1232
2833	56.8326	3.8816			31.8245	1.6187	32.8950	1012.7979
2834	56.8456	3.8824			31.6050	1.6184	32.8950	998.8791
2835	56.8586	3.8832			31.3534	1.6180	32.8950	983.0368
2836	56.8716	3.8841			30.5900	1.6177	32.8950	935.7463
2837	56.8846	3.8849			29.8665	1.6173	32.8950	892.0053
2838	56.8976	3.8857			29.1158	1.6170	32.8950	847.7311
2839	56.9106	3.8865			29.5740	1.6167	32.8950	874.6199
2840	56.9236	3.8873			28.1005	1.6163	32.8950	789.6368
2841	56.9366	3.8881			27.7817	1.6160	32.8950	771.8207
2842	56.9496	3.8889			27.6826	1.6157	32.8950	766.3249
2843	56.9626	3.8898			27.2650	1.6153	32.8950	743.3782
2844	56.9756	3.8906			26.1122	1.6150	32.8950	681.8471
2845	56.9886	3.8914			26.4685	1.6146	32.8950	700.5814
2846	57.0016	3.8922			26.8045	1.6143	32.8950	718.4814
2847	57.0146	3.8930			26.1768	1.6140	32.8950	685.2274
2848	57.0276	3.8938			26.2779	1.6136	32.8950	690.5263
2849	57.0406	3.8946			26.0851	1.6133	32.8950	680.4333
2850	57.0536	3.8954			25.1948	1.6130	32.8950	634.7757
2851	57.0666	3.8963			25.1592	1.6126	32.8950	632.9857
2852	57.0796	3.8971			24.8325	1.6123	32.8950	616.6548
2853	57.0926	3.8979			24.4002	1.6119	32.8950	595.3715
2854	57.1056	3.8987			24.0323	1.6116	32.8950	577.5501
2855	57.1186	3.8995			24.2843	1.6113	32.8950	589.7252
2856	57.1316	3.9003			24.8086	1.6109	32.8950	615.4673
2857	57.1446	3.9011			23.8412	1.6106	32.8950	568.4008
2858	57.1576	3.9019			23.3359	1.6103	32.8950	544.5638
2859	57.1706	3.9028			23.5385	1.6099	32.8950	554.0626
2860	57.1836	3.9036			23.9014	1.6096	32.8950	571.2747
2861	57.1966	3.9044			24.1270	1.6093	32.8950	582.1110
2862	57.2096	3.9052			23.5891	1.6089	32.8950	556.4472
2863	57.2226	3.9060			23.1644	1.6086	32.8950	536.5906
2864	57.2356	3.9068			22.9888	1.6083	32.8950	528.4832
